2026-03-16 17:00:06.202 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:18.358 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:30.556 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:42.676 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:54.994 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:01:07.412 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:01:19.715 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:01:31.983 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:01:44.128 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:01:56.189 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:02:08.248 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:02:20.380 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:02:32.668 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:02:45.073 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:07:04.139 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:07:17.899 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:07:32.446 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:07:46.081 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:07:50.864 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:08:03.324 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:08:15.702 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:08:27.947 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:08:40.175 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:08:52.393 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:09:04.579 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:09:16.763 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:09:29.049 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:09:41.226 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:09:53.465 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:10:05.660 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:10:17.853 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:10:30.209 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:10:42.662 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:10:55.025 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
