2026-03-14 11:15:02.437 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:15:13.456 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:15:24.516 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:15:35.581 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:15:46.637 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:15:57.664 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:16:08.713 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:16:19.759 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:16:30.794 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:16:41.844 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:16:52.885 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:03.936 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:14.989 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:25.995 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:36.997 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:48.073 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:17:59.126 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:18:10.199 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:18:21.221 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:18:32.273 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:18:43.333 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:18:54.385 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:19:05.442 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:19:16.497 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:19:27.566 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:19:38.623 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:19:49.644 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:00.645 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:11.692 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:22.744 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:33.793 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:44.841 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:20:55.886 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:21:06.924 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:21:17.963 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:21:28.991 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:21:40.018 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:21:51.079 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:02.151 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:13.188 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:24.219 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:35.252 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:46.270 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:22:57.298 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:23:08.355 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:23:19.399 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:23:30.429 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:23:41.488 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:23:52.507 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:03.544 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:14.560 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:25.574 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:36.618 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:47.717 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:24:58.770 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:25:09.812 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:25:20.866 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:25:31.904 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
